,cnt_airlines,cnt_entertainment,cnt_auto_rentals,cnt_vehicles,cnt_business_serv,cnt_clothing_stores,cnt_contracted_serv,cnt_direct_marketing,cnt_govt_serv,cnt_hotel,cnt_misc,cnt_personal_serv_prov,cnt_repair_serv,cnt_retail_stores,cnt_service_prov,cnt_transport,cnt_utilities,cnt_wholesale_distributor
cnt_airlines,0.9999999999999999,0.12409854313927646,0.14620277631977285,0.12282549167073474,0.1451464189680818,0.15904477142954443,-0.2012542174905035,0.14290875990920207,0.12899473333235936,0.16687339089855036,0.15720609993047316,0.13945777095270992,0.1439841307460208,0.1529080912132787,0.14584514155319106,0.15032775548875696,0.12872220194685374,0.14604211401899314
cnt_entertainment,0.12409854313927646,1.0,0.12867768658763432,0.45699299863535564,0.1270563128942959,-0.005572631597326138,-0.1648688802207144,0.1671027217060729,0.47904249220507833,0.2923119419571051,-0.2553452305952772,0.41536966500261363,0.12725396191657426,-0.31684383035911395,0.1266867848076387,0.35715339277574826,0.4818637473756757,0.12848747155113172
cnt_auto_rentals,0.14620277631977285,0.12867768658763434,1.0,0.12635750398148282,0.15137164868855893,0.17735938517885377,-0.19735563708980905,0.14393992577275475,0.13184524101612152,0.18674333162598006,0.17955494528236246,0.14371339394152502,0.15291015372001932,0.1747014665985504,0.15375393523178205,0.1614697526296844,0.13242753866868548,0.15159470714612625
cnt_vehicles,0.12282549167073475,0.45699299863535564,0.12635750398148282,1.0,0.12485362364091371,-0.04547590673610398,-0.16246643559994123,0.1728248305200308,0.4017220298178575,0.25303346533720805,-0.2717847579036024,0.35230506660280125,0.1259185185280558,-0.28564133794438934,0.1245269372654026,0.3071400615265246,0.40085900037674055,0.12549056086849064
cnt_business_serv,0.1451464189680818,0.1270563128942959,0.15137164868855896,0.12485362364091371,0.9999999999999999,0.1756147025285351,-0.19978220353282544,0.147615543081078,0.13207457297089895,0.1861142246873676,0.1773644456633689,0.1440838762720212,0.14998538006527357,0.17362598133249366,0.15363366380456994,0.16313557080200183,0.1325262334735027,0.15245029982770625
cnt_clothing_stores,0.15904477142954446,-0.005572631597326138,0.17735938517885377,-0.04547590673610398,0.1756147025285351,1.0,-0.22999109989810082,-0.00815828939465119,0.04062760497969738,0.3039033022939053,0.697903885599351,0.09521379008764197,0.17654342985459695,0.6630595513148306,0.1762725092492883,0.17133344636942252,0.0411845859228862,0.17536033458073327
cnt_contracted_serv,-0.20125421749050354,-0.16486888022071441,-0.19735563708980905,-0.16246643559994123,-0.19978220353282547,-0.2299910998981008,1.0,-0.18760546150103216,-0.17179925900772422,-0.24392357612860685,-0.23438403510729763,-0.18679519594511018,-0.19708046060639406,-0.22860609713182506,-0.19774806334638162,-0.21165210171874083,-0.17178451191369148,-0.19751987190896228
cnt_direct_marketing,0.14290875990920207,0.1671027217060729,0.14393992577275477,0.1728248305200308,0.147615543081078,-0.00815828939465119,-0.18760546150103216,0.9999999999999999,0.16438352520796098,0.1536238984788585,0.0028518245115710587,0.16638974889327865,0.1427915912330196,-0.01250420442516227,0.1437605288491742,0.16943447604664758,0.16346079966677673,0.14533941202592973
cnt_govt_serv,0.12899473333235936,0.47904249220507833,0.13184524101612152,0.40172202981785754,0.13207457297089895,0.04062760497969738,-0.17179925900772422,0.16438352520796098,1.0,0.3428038628833717,-0.24410826711786426,0.5007134015828169,0.13359331980787986,-0.24290450159063093,0.13215214113289175,0.42379280883825754,0.5850005410864536,0.13199064224959356
cnt_hotel,0.16687339089855036,0.2923119419571051,0.18674333162598006,0.25303346533720805,0.1861142246873676,0.3039033022939053,-0.24392357612860682,0.1536238984788585,0.34280386288337167,1.0,0.060436563399784406,0.41486296832245473,0.1881561810121661,0.09940934215551214,0.18734879468168802,0.5240683333498646,0.3423867517138322,0.18680101989032255
cnt_misc,0.15720609993047316,-0.25534523059527725,0.17955494528236246,-0.2717847579036024,0.1773644456633689,0.697903885599351,-0.23438403510729763,0.0028518245115710583,-0.24410826711786424,0.060436563399784406,1.0,-0.237885987945077,0.1777208309252931,0.9239640471911761,0.17843203860160345,-0.11988974186254808,-0.24428705755072364,0.17811869736590638
cnt_personal_serv_prov,0.13945777095270992,0.4153696650026137,0.14371339394152502,0.35230506660280125,0.14408387627202124,0.09521379008764198,-0.1867951959451102,0.16638974889327865,0.5007134015828169,0.4148629683224547,-0.237885987945077,0.9999999999999998,0.14635696488169536,-0.16572366691342624,0.14367131977956754,0.515028146755611,0.5008651773734978,0.14361517742226143
cnt_repair_serv,0.14398413074602082,0.12725396191657426,0.15291015372001932,0.1259185185280558,0.14998538006527354,0.17654342985459695,-0.19708046060639406,0.1427915912330196,0.1335933198078799,0.1881561810121661,0.17772083092529306,0.14635696488169536,1.0,0.17384148103700883,0.15149419279029425,0.16280481834427518,0.13352793680159625,0.15155033412025085
cnt_retail_stores,0.1529080912132787,-0.31684383035911395,0.17470146659855043,-0.28564133794438934,0.17362598133249366,0.6630595513148306,-0.22860609713182506,-0.01250420442516227,-0.24290450159063093,0.09940934215551214,0.9239640471911761,-0.16572366691342624,0.17384148103700883,1.0,0.1744872113542103,-0.06809329587523208,-0.24285622132468745,0.1737274254350725
cnt_service_prov,0.14584514155319106,0.1266867848076387,0.15375393523178205,0.12452693726540262,0.15363366380456994,0.1762725092492883,-0.19774806334638165,0.1437605288491742,0.13215214113289175,0.18734879468168802,0.17843203860160345,0.1436713197795675,0.15149419279029422,0.1744872113542103,1.0,0.16244949118513904,0.1327392045408167,0.1545582585546453
cnt_transport,0.15032775548875696,0.3571533927757483,0.16146975262968438,0.3071400615265246,0.16313557080200183,0.17133344636942252,-0.2116521017187408,0.16943447604664758,0.42379280883825754,0.5240683333498646,-0.1198897418625481,0.515028146755611,0.16280481834427518,-0.0680932958752321,0.16244949118513907,1.0,0.4275230694035396,0.162482507100412
cnt_utilities,0.12872220194685374,0.4818637473756758,0.13242753866868548,0.4008590003767406,0.1325262334735027,0.0411845859228862,-0.17178451191369146,0.16346079966677676,0.5850005410864536,0.3423867517138322,-0.2442870575507236,0.5008651773734978,0.13352793680159625,-0.24285622132468745,0.1327392045408167,0.4275230694035396,1.0,0.13339331394722842
cnt_wholesale_distributor,0.14604211401899317,0.12848747155113172,0.15159470714612622,0.12549056086849064,0.15245029982770628,0.17536033458073327,-0.19751987190896228,0.14533941202592973,0.1319906422495936,0.18680101989032252,0.17811869736590638,0.14361517742226143,0.15155033412025082,0.17372742543507247,0.1545582585546453,0.162482507100412,0.13339331394722842,1.0
